,CMPNM_NM,JJINHBT_SALES_PRICE_RATE,OTSD_SALES_PRICE_RATE,ALL_SALES_PRICE_RATE,SIGNGU_NM,ADSTRD_NM,AREA_NM,MLSFC_NM,SCLAS_NM
0,(30)년할매닭발노형점,1.2,0.01,0.07,제주시,노형동,제주시 동지역,한식,단품요리 전문
1,(makk),0.14666666666666667,0.03,0.03666666666666667,제주시,일도1동,제주시 동지역,간식,베이커리
2,(사복)한라원장애인직업재활시설,0.1925,0.0,0.015,제주시,애월읍,애월읍,간식,베이커리
3,(유)다올,0.20333333333333334,0.016666666666666666,0.03166666666666667,서귀포시,예래동,서귀포시 동지역,한식,가정식
4,(유)아웃백스테이크하우스코리아제주점,22.583333333333332,0.35833333333333334,1.7283333333333335,제주시,노형동,제주시 동지역,양식,패밀리 레스토랑
5,(유)케이디에셋 담앤루,0.05,0.0,0.01,서귀포시,중문동,서귀포시 동지역,한식,가정식
6,(육십)60계제주아라점,0.92,0.01,0.06,제주시,아라동,제주시 동지역,패스트푸드,치킨
7,(주) 뉴비지트,0.072,0.036,0.038,서귀포시,대륜동,서귀포시 동지역,한식,단품요리 전문
8,(주) 베이힐,0.5466666666666666,1.748333333333333,1.7366666666666666,서귀포시,예래동,서귀포시 동지역,한식,단품요리 전문
9,(주) 성우디엔에프,0.0,0.03333333333333333,0.03333333333333333,서귀포시,대천동,서귀포시 동지역,한식,단품요리 전문
10,(주) 신세계푸드  데블스도어 제주점,0.47500000000000003,0.555,0.5716666666666667,서귀포시,안덕면,안덕면,한식,구내식당/푸드코트
11,(주) 신세계푸드 제주대학교기숙사,0.9383333333333334,0.10666666666666667,0.16166666666666665,제주시,아라동,제주시 동지역,한식,구내식당/푸드코트
12,(주) 신세계푸드 제주신화월드  고래라면,0.25833333333333336,0.265,0.27166666666666667,서귀포시,안덕면,안덕면,한식,구내식당/푸드코트
13,(주) 신세계푸드 제주신화월드  윤경양식당,0.9183333333333333,0.38000000000000006,0.425,서귀포시,안덕면,안덕면,한식,구내식당/푸드코트
14,(주) 신세계푸드 제주신화월드  크랩통 제,0.515,0.7866666666666666,0.8033333333333333,서귀포시,안덕면,안덕면,한식,구내식당/푸드코트
15,(주) 신세계푸드 제주신화월드  티플레이스,2.0500000000000003,0.7533333333333333,0.8616666666666667,서귀포시,안덕면,안덕면,한식,구내식당/푸드코트
16,(주) 신세계푸드 제주신화월드  화니제주신,1.055,0.47333333333333333,0.5283333333333333,서귀포시,안덕면,안덕면,한식,구내식당/푸드코트
17,(주) 신세계푸드 제주신화월드테마파크점,0.0,0.0033333333333333335,0.0033333333333333335,서귀포시,안덕면,안덕면,한식,구내식당/푸드코트
18,(주) 아워홈 제주대학교병원제주점,1.0166666666666666,0.03,0.09333333333333334,제주시,아라동,제주시 동지역,한식,구내식당/푸드코트
19,(주) 아워홈 제주지방합동청사점,1.0466666666666666,0.013333333333333334,0.07833333333333334,제주시,이도2동,제주시 동지역,한식,구내식당/푸드코트
20,(주) 아워홈 제주한라병원점,1.335,0.011666666666666667,0.09333333333333334,제주시,연동,제주시 동지역,한식,구내식당/푸드코트
21,(주) 현대그린푸드 국세공무원교육원(제주),1.325,0.03666666666666667,0.11166666666666668,서귀포시,대륜동,서귀포시 동지역,한식,구내식당/푸드코트
22,(주)구푸디해운대밀면(본점),0.13333333333333333,0.006666666666666667,0.011666666666666667,서귀포시,대천동,서귀포시 동지역,한식,가정식
23,(주)김녕요트투어,0.005,0.011666666666666667,0.011666666666666667,제주시,구좌읍,구좌읍,한식,가정식
24,(주)네츄럴파크리조트,0.04,0.01,0.01,제주시,애월읍,애월읍,한식,가정식
25,(주)다모아미래컨벤션센터,4.276,0.0,0.27399999999999997,제주시,용담1동,제주시 동지역,한식,가정식
26,(주)대유산업,0.9316666666666666,0.9249999999999999,0.9533333333333333,서귀포시,예래동,서귀포시 동지역,한식,단품요리 전문
27,(주)동산관광 리시온레스토랑,0.09,0.0,0.01,서귀포시,표선면,표선면,한식,단품요리 전문
28,(주)리틀넥 애월점,0.4183333333333333,0.295,0.3116666666666667,제주시,애월읍,애월읍,양식,양식
29,(주)모스우드,0.036,0.01,0.014000000000000002,제주시,애월읍,애월읍,한식,단품요리 전문
30,(주)쁠랑뜨,0.5933333333333334,0.011666666666666667,0.043333333333333335,제주시,노형동,제주시 동지역,한식,단품요리 전문
31,(주)산굼부리,1.6183333333333334,1.71,1.7750000000000001,제주시,조천읍,조천읍,한식,가정식
32,(주)산티아고가는길,0.08166666666666667,0.011666666666666667,0.011666666666666667,제주시,한경면,한경면,한식,단품요리 전문
33,(주)산티아고가는길 남원점,0.07833333333333334,0.011666666666666667,0.015,서귀포시,남원읍,남원읍,한식,단품요리 전문
34,(주)삼다도횟집,2.5316666666666667,0.5466666666666667,0.68,제주시,용담2동,제주시 동지역,한식,단품요리 전문
35,(주)새들러컴퍼니 제주지점,2.065,0.45999999999999996,0.57,제주시,애월읍,애월읍,한식,단품요리 전문
36,(주)서울인더스트리포트그릴스테이크하우스,1.0683333333333334,0.14666666666666667,0.215,서귀포시,송산동,서귀포시 동지역,양식,스테이크
37,(주)서촌제 스시100,6.068,0.20800000000000002,0.584,제주시,연동,제주시 동지역,아시아음식,일식
38,(주)소프트라인 제주지점,0.025,0.0125,0.0125,서귀포시,예래동,서귀포시 동지역,한식,가정식
39,(주)신세계푸드 제주신화월드,1.29,0.5816666666666667,0.6466666666666666,서귀포시,안덕면,안덕면,한식,구내식당/푸드코트
40,(주)신세계푸드 제주신화월드 자니로켓,1.0050000000000001,0.36333333333333334,0.4183333333333333,서귀포시,안덕면,안덕면,한식,구내식당/푸드코트
41,(주)신세계푸드 제주신화월드 직원식당,0.1975,0.01125,0.02375,서귀포시,안덕면,안덕면,한식,단품요리 전문
42,(주)신세계푸드 한국공항공사 제주지역본부 직원식당,0.09500000000000001,0.005,0.011666666666666667,제주시,용담2동,제주시 동지역,한식,구내식당/푸드코트
43,(주)신세계푸드블랙스톤리조트,0.0,0.0,0.0,제주시,한림읍,한림읍,한식,단품요리 전문
44,(주)신화랜드던킨도너츠제주아라메가박스점,1.0433333333333332,0.011666666666666667,0.07166666666666667,제주시,아라동,제주시 동지역,간식,도너츠
45,(주)썬시티코리아,0.0,0.006666666666666667,0.006666666666666667,제주시,용담2동,제주시 동지역,양식,양식
46,(주)아워홈 KBS제주점,0.6174999999999999,0.00125,0.0375,제주시,이도2동,제주시 동지역,한식,구내식당/푸드코트
47,(주)아워홈 네오플제주점(NXC식당),0.01,0.0,0.0,제주시,노형동,제주시 동지역,한식,구내식당/푸드코트
48,(주)아워홈 네오플제주점(네오마루식당),0.01,0.0,0.0,제주시,노형동,제주시 동지역,한식,구내식당/푸드코트
49,(주)아워홈 디케이서비스제주점,0.22666666666666668,0.0,0.013333333333333334,제주시,아라동,제주시 동지역,한식,구내식당/푸드코트
50,(주)아워홈 렛츠런파크제주점 한식당,0.58,0.01,0.06,제주시,애월읍,애월읍,한식,구내식당/푸드코트
51,(주)아워홈 제주국제공항2지점,1.9666666666666668,0.4633333333333334,0.57,제주시,용담2동,제주시 동지역,한식,구내식당/푸드코트
52,(주)아워홈 제주국제공항점,3.9987500000000002,1.59,1.78625,제주시,용담2동,제주시 동지역,한식,구내식당/푸드코트
53,(주)아워홈 제주지방합동청사제주점,1.835,0.035,0.14666666666666667,제주시,이도2동,제주시 동지역,한식,구내식당/푸드코트
54,(주)아워홈 카카오제주점,0.9750000000000001,0.0,0.06333333333333334,제주시,아라동,제주시 동지역,한식,구내식당/푸드코트
55,(주)아워홈 휘닉스제주점,0.0,0.0,0.0,서귀포시,성산읍,성산읍,한식,구내식당/푸드코트
56,(주)아인당구카페,0.28833333333333333,0.0,0.021666666666666667,제주시,외도동,제주시 동지역,양식,양식
57,(주)에스피오엘  제주지점_한식,0.0,0.05833333333333334,0.05666666666666667,제주시,애월읍,애월읍,한식,가정식
58,(주)에이치엘아이제주지사,0.26,0.0,0.015000000000000001,제주시,이도2동,제주시 동지역,한식,단품요리 전문
59,(주)엠브릿지,0.15333333333333335,0.13166666666666668,0.13333333333333333,서귀포시,대정읍,대정읍,한식,단품요리 전문
60,(주)오드랑베이커리,7.3566666666666665,1.8983333333333334,2.2816666666666667,제주시,조천읍,조천읍,간식,베이커리
61,(주)오설록 제주점,3.885,9.015,9.003333333333334,서귀포시,안덕면,안덕면,음료,차
62,(주)오제이상사애월지점 낭푼밥상,0.355,0.12,0.135,제주시,연동,제주시 동지역,한식,가정식
63,(주)워크인제주,0.0,0.0,0.0,제주시,한경면,한경면,한식,단품요리 전문
64,(주)웨스트프라임,0.055,0.025,0.025,서귀포시,대륜동,서귀포시 동지역,한식,단품요리 전문
65,(주)웰메이드생활건강,0.0,0.0,0.0,서귀포시,중문동,서귀포시 동지역,한식,가정식
66,(주)유동커피 팩토리,0.425,0.01,0.03833333333333334,서귀포시,서홍동,서귀포시 동지역,한식,단품요리 전문
67,(주)유티에스제주,0.0,0.056666666666666664,0.05333333333333334,제주시,애월읍,애월읍,한식,가정식
68,(주)이에스리조트클럽,0.016666666666666666,0.041666666666666664,0.041666666666666664,서귀포시,중문동,서귀포시 동지역,양식,양식
69,(주)제담에프앤비 제주호랭이 성산점,0.2366666666666667,0.19499999999999998,0.205,서귀포시,성산읍,성산읍,한식,단품요리 전문
70,(주)제담에프앤비더플레이트한라대점,0.555,0.0033333333333333335,0.04,제주시,노형동,제주시 동지역,부페,부페
71,(주)제이콥에프앤비 제주아일랜드점,0.26666666666666666,0.17333333333333334,0.18499999999999997,서귀포시,안덕면,안덕면,한식,단품요리 전문
72,(주)제주국제컨벤션센터(던킨),0.5433333333333333,0.11166666666666665,0.14,서귀포시,중문동,서귀포시 동지역,간식,베이커리
73,(주)제주서서갈비,2.555,0.02333333333333333,0.17833333333333334,제주시,노형동,제주시 동지역,한식,가정식
74,(주)제주소나이와인점방,1.2566666666666666,0.20833333333333334,0.2816666666666667,서귀포시,서홍동,서귀포시 동지역,주점및주류판매,주류
