ANALS_YM,CMPNM_NM,SIGNGU_NM,ADSTRD_NM,AREA_NM,MLSFC_NM,SCLAS_NM,JJINHBT_SALES_PRICE_RATE,JJINHBT_SALES_CO_RATE,OTSD_SALES_PRICE_RATE,OTSD_SALES_CO_RATE,ALL_SALES_PRICE_RATE,ALL_SALES_CO_RATE,VARTION_RT,RANK_CO,GID_ID
202112,홍대98돈까스,제주시,아라동,제주시 동지역,한식,돈까스,0.18,0.42,0,0.02,0.01,0.16,-0.16,0.16,다나11a98b
202112,일품순두부아라점,제주시,아라동,제주시 동지역,한식,순두부,3.21,6.78,0.07,0.72,0.33,2.95,-0.71,2.95,다나11a98b
202112,24시얼큰시원생고기김치찌개아라점,제주시,아라동,제주시 동지역,한식,김치찌개,2.23,4.57,0.04,0.36,0.22,1.88,-0.67,1.88,다나11a98b
202112,심청이쌈밥,제주시,아라동,제주시 동지역,한식,단품요리 전문,0.28,0.42,0,0.01,0.03,0.15,-0.08,0.15,다나11a98b
202112,에이바우트커피아라초점,제주시,아라동,제주시 동지역,음료,커피,0.88,7,0.03,1.3,0.11,3.53,-1.2,3.53,다나11a98b
202112,서쪽부엌,제주시,아라동,제주시 동지역,한식,가정식,0.09,0.22,0,0.04,0.01,0.11,-0.04,0.11,다나11a98b
202112,아라스시,제주시,아라동,제주시 동지역,한식,일식,1.37,1.06,0.01,0.03,0.12,0.39,-0.07,0.39,다나11a98b
202112,해도횟집본점,제주시,아라동,제주시 동지역,한식,회,2.19,1,0.07,0.13,0.25,0.46,-0.03,0.46,다나11a98b
202112,삼남매식당,제주시,아라동,제주시 동지역,한식,가정식,1.03,0.75,0.03,0.1,0.11,0.35,-0.15,0.35,다나11a98b
202112,김이박,제주시,아라동,제주시 동지역,한식,가정식,0.44,0.33,0.03,0.04,0.06,0.15,-0.03,0.15,다나11a98b
202112,춘풍설렁탕,제주시,아라동,제주시 동지역,한식,단품요리 전문,0.66,1.28,0.01,0.09,0.07,0.52,-0.19,0.52,다나11a98b
202112,어깨동무,제주시,아라동,제주시 동지역,한식,가정식,0.25,0.81,0,0.08,0.02,0.35,-0.18,0.35,다나11a98b
202112,던킨도너츠아라점,제주시,아라동,제주시 동지역,간식,도너츠,1.49,5.35,0.01,0.26,0.13,2.07,-0.25,2.07,다나11a98b
202112,스톤브로스,제주시,아라동,제주시 동지역,한식,단품요리 전문,0.42,1.48,0,0.11,0.04,0.61,-0.36,0.61,다나11a98b
202112,배떡아라점,제주시,아라동,제주시 동지역,한식,단품요리 전문,0.49,1.23,0.01,0.13,0.05,0.54,-0.2,0.54,다나11a98b
202112,카페토르토니,제주시,아라동,제주시 동지역,음료,커피,0.17,0.5,0,0.04,0.02,0.21,0.35,0.21,다나11a98b
202112,도연이네,제주시,아라동,제주시 동지역,한식,커피,0.08,0.17,0,0,0.01,0.06,-0.03,0.06,다나11a98b
202112,다가미아라점,제주시,아라동,제주시 동지역,한식,가정식,0.54,2.29,0.03,0.44,0.07,1.16,-0.04,1.16,다나11a98b
202112,방일해장국아라점,제주시,아라동,제주시 동지역,한식,해장국,1.61,2.87,0.01,0.12,0.15,1.1,-0.47,1.1,다나11a98b
202112,제주오겹살왕돌구이집,제주시,아라동,제주시 동지역,한식,가정식,1.55,1.11,0.03,0.11,0.16,0.48,-0.12,0.48,다나11a98b
202112,남가네설악추어탕아라점,제주시,아라동,제주시 동지역,한식,추어탕,1.15,1.89,0.01,0.1,0.11,0.74,0.01,0.74,다나11a98b
202112,스니프,제주시,아라동,제주시 동지역,양식,양식,0.34,0.33,0.02,0.09,0.04,0.19,0.06,0.19,다나11a98b
202112,주식회사 티아이,제주시,아라동,제주시 동지역,한식,가정식,2.89,1.17,0.09,0.11,0.32,0.5,-0.16,0.5,다나11a98b
202112,추사밥상월정,제주시,아라동,제주시 동지역,한식,가정식,0.23,0.31,0,0,0.02,0.11,-0.07,0.11,다나11a98b
202112,오멘,제주시,아라동,제주시 동지역,한식,단품요리 전문,0.53,1.48,0,0.03,0.05,0.54,-0.1,0.54,다나11a98b
202112,블레블랑제리,제주시,아라동,제주시 동지역,간식,베이커리,1.02,2.54,0.02,0.27,0.1,1.11,-0.32,1.11,다나11a98b
202112,바베큐통족구이보쌈아라점,제주시,아라동,제주시 동지역,한식,보쌈,0.39,0.33,0,0.01,0.03,0.12,-0.07,0.12,다나11a98b
202112,춘천명동닭갈비 아라점,제주시,아라동,제주시 동지역,한식,갈비,1.05,1.03,0.02,0.08,0.1,0.42,-0.1,0.42,다나11a98b
202112,장미반점,제주시,아라동,제주시 동지역,아시아음식,중식,0.83,1.36,0.01,0.09,0.08,0.55,-0.16,0.55,다나11a98b
202112,원조큰맘할매순대국 아라점,제주시,아라동,제주시 동지역,한식,순대국,0.94,1.93,0.01,0.12,0.08,0.77,-0.01,0.77,다나11a98b
202112,아랑조을국수,제주시,아라동,제주시 동지역,한식,면류,0.5,1.59,0.01,0.07,0.05,0.61,-0.11,0.61,다나11a98b
202112,넉넉한밥상,제주시,아라동,제주시 동지역,한식,가정식,0.27,0.5,0.01,0.11,0.04,0.27,-0.08,0.27,다나11a98b
202112,모어댄댓,제주시,아라동,제주시 동지역,양식,양식,1.69,1.62,0.02,0.11,0.16,0.65,-0.23,0.65,다나11a98b
202112,달달한청춘,제주시,아라동,제주시 동지역,한식,단품요리 전문,0.04,0.14,0,0,0,0.05,0.01,0.05,다나11a98b
202112,사닮과,제주시,아라동,제주시 동지역,한식,단품요리 전문,0.67,1.36,0.01,0.23,0.07,0.67,-0.22,0.67,다나11a98b
202112,홍익돈까스 제주점,제주시,아라동,제주시 동지역,한식,돈까스,2.56,3.96,0.03,0.27,0.24,1.59,-0.34,1.59,다나11a98b
202112,컴포즈커피 제주아라점,제주시,아라동,제주시 동지역,음료,커피,0.89,8.7,0.01,0.4,0.08,3.34,-0.7,3.34,다나11a98b
202112,문경회센터,제주시,아라동,제주시 동지역,한식,회,1.59,0.75,0.09,0.21,0.22,0.44,-0.05,0.44,다나11a98b
202112,어디가맨,제주시,아라동,제주시 동지역,한식,가정식,0.26,0.73,0,0.06,0.02,0.3,-0.04,0.3,다나11a98b
